L,p,q,runs,linking,max_iter,osd_order,osd_method,job_number,git hash (metadata)
6,0.001,0.001,10000,0,10,6,osd_cs,0,b'4d2d95835b5b3cda0e17e166c1301a9e574e355c'
6,0.003,0.003,10000,0,10,6,osd_cs,1,b'4d2d95835b5b3cda0e17e166c1301a9e574e355c'
6,0.005,0.005,10000,0,10,6,osd_cs,2,b'4d2d95835b5b3cda0e17e166c1301a9e574e355c'
6,0.007,0.007,10000,0,10,6,osd_cs,3,b'4d2d95835b5b3cda0e17e166c1301a9e574e355c'
6,0.009000000000000001,0.009000000000000001,10000,0,10,6,osd_cs,4,b'4d2d95835b5b3cda0e17e166c1301a9e574e355c'
6,0.011,0.011,10000,0,10,6,osd_cs,5,b'4d2d95835b5b3cda0e17e166c1301a9e574e355c'
6,0.013000000000000001,0.013000000000000001,10000,0,10,6,osd_cs,6,b'4d2d95835b5b3cda0e17e166c1301a9e574e355c'
6,0.015,0.015,10000,0,10,6,osd_cs,7,b'4d2d95835b5b3cda0e17e166c1301a9e574e355c'
6,0.017,0.017,10000,0,10,6,osd_cs,8,b'4d2d95835b5b3cda0e17e166c1301a9e574e355c'
6,0.019000000000000003,0.019000000000000003,10000,0,10,6,osd_cs,9,b'4d2d95835b5b3cda0e17e166c1301a9e574e355c'
6,0.021,0.021,10000,0,10,6,osd_cs,10,b'4d2d95835b5b3cda0e17e166c1301a9e574e355c'
6,0.023,0.023,10000,0,10,6,osd_cs,11,b'4d2d95835b5b3cda0e17e166c1301a9e574e355c'
6,0.025,0.025,10000,0,10,6,osd_cs,12,b'4d2d95835b5b3cda0e17e166c1301a9e574e355c'
8,0.001,0.001,10000,0,10,6,osd_cs,13,b'4d2d95835b5b3cda0e17e166c1301a9e574e355c'
8,0.003,0.003,10000,0,10,6,osd_cs,14,b'4d2d95835b5b3cda0e17e166c1301a9e574e355c'
8,0.005,0.005,10000,0,10,6,osd_cs,15,b'4d2d95835b5b3cda0e17e166c1301a9e574e355c'
8,0.007,0.007,10000,0,10,6,osd_cs,16,b'4d2d95835b5b3cda0e17e166c1301a9e574e355c'
8,0.009000000000000001,0.009000000000000001,10000,0,10,6,osd_cs,17,b'4d2d95835b5b3cda0e17e166c1301a9e574e355c'
8,0.011,0.011,10000,0,10,6,osd_cs,18,b'4d2d95835b5b3cda0e17e166c1301a9e574e355c'
8,0.013000000000000001,0.013000000000000001,10000,0,10,6,osd_cs,19,b'4d2d95835b5b3cda0e17e166c1301a9e574e355c'
8,0.015,0.015,10000,0,10,6,osd_cs,20,b'4d2d95835b5b3cda0e17e166c1301a9e574e355c'
8,0.017,0.017,10000,0,10,6,osd_cs,21,b'4d2d95835b5b3cda0e17e166c1301a9e574e355c'
8,0.019000000000000003,0.019000000000000003,10000,0,10,6,osd_cs,22,b'4d2d95835b5b3cda0e17e166c1301a9e574e355c'
8,0.021,0.021,10000,0,10,6,osd_cs,23,b'4d2d95835b5b3cda0e17e166c1301a9e574e355c'
8,0.023,0.023,10000,0,10,6,osd_cs,24,b'4d2d95835b5b3cda0e17e166c1301a9e574e355c'
8,0.025,0.025,10000,0,10,6,osd_cs,25,b'4d2d95835b5b3cda0e17e166c1301a9e574e355c'
10,0.001,0.001,10000,0,10,6,osd_cs,26,b'4d2d95835b5b3cda0e17e166c1301a9e574e355c'
10,0.003,0.003,10000,0,10,6,osd_cs,27,b'4d2d95835b5b3cda0e17e166c1301a9e574e355c'
10,0.005,0.005,10000,0,10,6,osd_cs,28,b'4d2d95835b5b3cda0e17e166c1301a9e574e355c'
10,0.007,0.007,10000,0,10,6,osd_cs,29,b'4d2d95835b5b3cda0e17e166c1301a9e574e355c'
10,0.009000000000000001,0.009000000000000001,10000,0,10,6,osd_cs,30,b'4d2d95835b5b3cda0e17e166c1301a9e574e355c'
10,0.011,0.011,10000,0,10,6,osd_cs,31,b'4d2d95835b5b3cda0e17e166c1301a9e574e355c'
10,0.013000000000000001,0.013000000000000001,10000,0,10,6,osd_cs,32,b'4d2d95835b5b3cda0e17e166c1301a9e574e355c'
10,0.015,0.015,10000,0,10,6,osd_cs,33,b'4d2d95835b5b3cda0e17e166c1301a9e574e355c'
10,0.017,0.017,10000,0,10,6,osd_cs,34,b'4d2d95835b5b3cda0e17e166c1301a9e574e355c'
10,0.019000000000000003,0.019000000000000003,10000,0,10,6,osd_cs,35,b'4d2d95835b5b3cda0e17e166c1301a9e574e355c'
10,0.021,0.021,10000,0,10,6,osd_cs,36,b'4d2d95835b5b3cda0e17e166c1301a9e574e355c'
10,0.023,0.023,10000,0,10,6,osd_cs,37,b'4d2d95835b5b3cda0e17e166c1301a9e574e355c'
10,0.025,0.025,10000,0,10,6,osd_cs,38,b'4d2d95835b5b3cda0e17e166c1301a9e574e355c'
12,0.001,0.001,10000,0,10,6,osd_cs,39,b'4d2d95835b5b3cda0e17e166c1301a9e574e355c'
12,0.003,0.003,10000,0,10,6,osd_cs,40,b'4d2d95835b5b3cda0e17e166c1301a9e574e355c'
12,0.005,0.005,10000,0,10,6,osd_cs,41,b'4d2d95835b5b3cda0e17e166c1301a9e574e355c'
12,0.007,0.007,10000,0,10,6,osd_cs,42,b'4d2d95835b5b3cda0e17e166c1301a9e574e355c'
12,0.009000000000000001,0.009000000000000001,10000,0,10,6,osd_cs,43,b'4d2d95835b5b3cda0e17e166c1301a9e574e355c'
12,0.011,0.011,10000,0,10,6,osd_cs,44,b'4d2d95835b5b3cda0e17e166c1301a9e574e355c'
12,0.013000000000000001,0.013000000000000001,10000,0,10,6,osd_cs,45,b'4d2d95835b5b3cda0e17e166c1301a9e574e355c'
12,0.015,0.015,10000,0,10,6,osd_cs,46,b'4d2d95835b5b3cda0e17e166c1301a9e574e355c'
12,0.017,0.017,10000,0,10,6,osd_cs,47,b'4d2d95835b5b3cda0e17e166c1301a9e574e355c'
12,0.019000000000000003,0.019000000000000003,10000,0,10,6,osd_cs,48,b'4d2d95835b5b3cda0e17e166c1301a9e574e355c'
12,0.021,0.021,10000,0,10,6,osd_cs,49,b'4d2d95835b5b3cda0e17e166c1301a9e574e355c'
12,0.023,0.023,10000,0,10,6,osd_cs,50,b'4d2d95835b5b3cda0e17e166c1301a9e574e355c'
12,0.025,0.025,10000,0,10,6,osd_cs,51,b'4d2d95835b5b3cda0e17e166c1301a9e574e355c'
